"b4",   0.25,   0,  0
"a4",   0.25,   0,  0
"g#4",  0.25,   0,  0
"a4",   0.25,   0,  0
"c5",   0.5,    0,  0
"s",    0.5,    0,  0
"d5",   0.25,   0,  0
"c5",   0.25,   0,  0
"b4",   0.25,   0,  0
"c5",   0.25,   0,  0
"e5",   0.5,    0,  0
"s",    0.5,    0,  0
"f5",   0.25,   0,  0
"e5",   0.25,   0,  0
"d#5",  0.25,   0,  0
"e5",   0.25,   0,  0
"b5",   0.25,   0,  0
"a5",   0.25,   0,  0
"g#5",  0.25,   0,  0
"a5",   0.25,   0,  0
"b5",   0.25,   0,  0
"a5",   0.25,   0,  0
"g#5",  0.25,   0,  0
"a5",   0.25,   0,  0
"c6",   1,      0,  0
"a5",   0.5,    0,  0
"c6",   0.5,    0,  0
"b5",   0.5,    0,  0
"a5",   0.5,    0,  0
"g5",   0.5,    0,  0
"a5",   0.5,    0,  0
"b5",   0.5,    0,  0
"a5",   0.5,    0,  0
"g5",   0.5,    0,  0
"a5",   0.5,    0,  0
"b5",   0.5,    0,  0
"a5",   0.5,    0,  0
"g5",   0.5,    0,  0
"f#5",  0.5,    0,  0
"e5",   1,      0,  1
"s",    1,      0,  0
"e5",   0.5,     0,  0
"f5",   0.5,	0,	0
"g5",   0.5,	0,	0
"g5",   0.5,	0,	0
"a5",   0.25,	0,	0
"g5",   0.25,	0,	0
"f5",   0.25,	0,	0
"e5",   0.25,	0,	0
"d5",   1,		0,	0
"s",   	0.5,		0,	0
"e5",   0.5,		0,	0
"f5",   0.5,		0,	0
"g5",   0.5,		0,	0
"g5",   0.5,		0,	0
"a5",   0.25,	0,	0
"g5",   0.25,	0,	0
"f5",   0.25,	0,	0
"e5",   0.25,	0,	0
"d5",   1,		0,	0
"s",   	0.5,		0,	0
"c5",   0.5,		0,	0
"d5",   0.5,		0,	0
"e5",   0.5,		0,	0
"e5",   0.5,		0,	0
"f5",   0.25,	0,	0
"e5",   0.25,	0,	0
"d5",   0.25,	0,	0
"c5",   0.25,	0,	0
"b4",   1,		0,	0
"s",   	0.5,		0,	0
"c5",   0.5,		0,	0
"d5",   0.5,		0,	0
"e5",   0.5,		0,	0
"e5",   0.5,		0,	0
"f5",   0.25,	0,	0
"e5",   0.25,	0,	0
"d5",   0.25,	0,	0
"c5",   0.25,	0,	0
"b4",   0.5,		0,	0
"s",   	0.5,		0,	0
"b4",   0.25,	0,	0
"a4",   0.25,	0,	0
"g#4",  0.25,	0,	0
"a4",   0.25,	0,	0
"c5",   0.5,		0,	0
"s",   	0.5,		0,	0
"d5",   0.25,	0,	0
"c5",   0.25,	0,	0
"d5",   0.25,	0,	0
"b4",   0.25,	0,	0
"c5",   0.25,	0,	0
"e5",   0.5,		0,	0
"s",	0.5,		0,	0
"f5",   0.25,	0,	0
"e5",   0.25,	0,	0
"d#5",  0.25,	0,	0
"e5",  	0.25,	0,	0
"b5", 	0.25,	0,	0
"a5", 	0.25,	0,	0
"g#5",  0.25,	0,	0
"a5", 	0.25,	0,	0
"b5", 	0.25,	0,	0
"a5", 	0.25,	0,	0
"g#5", 	0.25,	0,	0
"a5", 	0.25,	0,	0
"c6", 	1,		0,	0
"a5", 	0.5,		0,	0
"b5", 	0.5,		0,	0
"c6", 	0.5,		0,	0
"b5", 	0.5,		0,	0
"a5", 	0.5,		0,	0
"g#5", 	0.5,		0,	0
"a5", 	0.5,		0,	0
"e5", 	0.5,		0,	0
"f5", 	0.5,		0,	0
"d5", 	0.5,		0,	0
"c5", 	1,		0,	0
"b4", 	0.75,	0,	0
"a4", 	0.125,	0,	0
"b4", 	0.125,	0,	0
"a4", 	0.5, 	40,	1
